_id,accepted_answer_id,answer_count,comment_count,creation_date,favorite_count,owner_user_id,related_posts,score,tags,title,view_count
509711,509825,11,0,2009-02-04T01:06:05.827,26,91385,[7569436],154,"[""html"",""css""]",Why does overflow:hidden not work in a <td>?,154094
523669,523677,1,0,2009-02-07T12:14:48.83,2,63229,[523405],6,"[""c#"",""irc"",""winapi""]",How to write and send text to mIRC in C#/Win32?,2688
553922,553934,10,7,2009-02-16T16:37:04.92,55,22093,"[310580,12823520]",120,"[""asp.net"",""asp.net-mvc"",""custom-error-pages"",""asp.net-mvc-routing"",""http-status-code-404""]",Routing for custom ASP.NET MVC 404 Error page,162405
580668,580690,4,0,2009-02-24T06:24:26.497,2,30946,[4824687],27,"[""sqlite"",""dblinq""]",How do I use a boolean field in a where clause in SQLite?,44183
604399,604504,5,0,2009-03-02T22:48:25.003,72,72994,[880957],177,"[""git"",""version-control""]",how do you push only some of your local git commits?,73658
649483,649500,11,1,2009-03-16T06:51:26.013,20,53839,"[3862619,5197446]",94,"[""generics"",""collections"",""objective-c"",""strong-typing"",""data-structures""]","Is there any way to enforce typing on NSArray, NSMutableArray, etc.?",41800
669518,669553,3,0,2009-03-21T16:02:07.363,1,31770,"[576267,635719]",3,"["".net"",""rss"",""open-source""]",Open source RSS parser,809
686309,,7,0,2009-03-26T15:37:18.147,0,,[1583351],8,"[""c#"",""datagridview"",""edit""]",DataGridView: Change Edit Control size while editing,14473
710076,710144,7,0,2009-04-02T15:00:24.233,5,37147,[709617],12,"[""asp.net"",""resources"",""user-controls"",""web-applications"",""visual-studio-2008""]",How do I share user controls between web applications in ASP.NET?,8402
729081,729096,1,0,2009-04-08T08:43:33.457,,77449,[575794],0,"[""iphone"",""cocoa-touch""]",iPhone - Why did all interface went a little bit down,159
751163,751188,9,1,2009-04-15T11:01:05.32,,4653,[615173],3,"[""c#"",""visual-studio""]",Using visual studio 2008 and 2005 in one group,259
759703,759733,9,1,2009-04-17T09:19:29.743,17,36860,[1875440],140,"[""c#"",""java"",""comments"",""interface""]","Comment the interface, implementation or both?",39852
769045,769058,3,1,2009-04-20T16:30:38.65,3,93287,[756765],7,"[""c#"",""tcp"",""packets"",""mtu""]","When I send a packet over tcp, it is split into two packets",7641
795286,795289,7,4,2009-04-27T21:07:33.407,23,95964,[5369770],86,"[""c++"",""operators"",""conditional-operator""]",What does the question mark character ('?') mean in C++?,243754
800769,,6,1,2009-04-29T03:37:44.66,1,,[800849],3,"[""python"",""user-interface"",""python-3.x""]",About GUI editor that would be compatible with Python 3.0,1805
840210,840526,4,0,2009-05-08T14:57:06.253,,71200,[522238],2,"[""c#"",""error-handling"",""exception"",""guard-clause""]",Guard Clause and Exception handling for the same condition,1211
860524,,2,0,2009-05-13T21:28:12.26,3,14978,[542479],10,"[""version-control"",""mercurial"",""clearcase""]",Migrating from clearcase to mercurial,3089
881639,881669,4,1,2009-05-19T08:50:15.387,,70350,[19009932],4,"[""python"",""debian""]",Python imports: importing a module without .py extension?,4005
901045,901168,2,0,2009-05-23T07:04:47.417,11,67445,[519387],7,"[""c#"",""screen-scraping""]",Screen-scraping a site with a asp.net form login in C#?,6007
921806,922419,2,3,2009-05-28T16:20:50.667,2,11529,[317450],8,"[""c++"",""struct""]",What's the point of this pattern: using a struct to contain a single method,427
931344,931403,3,1,2009-05-31T05:06:16.847,1,89904,[904353],3,"[""git"",""version-control""]",Tracking other peoples projects with git,129
944966,,3,1,2009-06-03T14:06:49.933,19,2759376,"[4802565,45602699]",52,"[""performance"",""x86"",""intel"",""multiprocessing"",""cpu-cache""]",How are cache memories shared in multicore Intel CPUs?,25319
965301,965451,3,2,2009-06-08T14:58:24.397,3,2424,[9299267],3,"[""tfs"",""build-process""]",Build monitor for TFS 2008 build server,1608
983289,983430,4,5,2009-06-11T19:58:59.83,3,65214,[661561],5,"["".net"",""multithreading"",""winforms""]",Update Winforms UI from background thread result,11678
1005525,1005538,8,0,2009-06-17T07:12:50.03,1,41360,[531635],0,"[""bug-tracking""]","Can anyone suggest a small, simple and free bugtracker?",4277
1036782,,2,0,2009-06-24T06:56:28.557,1,32262,[2749905],4,"[""html"",""browser""]",HTML form values and 'Back' button,2466
1059580,1059619,6,3,2009-06-29T17:53:38.95,36,11236,[1070495],59,"[""java"",""timeout"",""locking"",""distributed-lock""]",Distributed Lock Service,35820
1092330,,0,3,2009-07-07T13:27:47.243,,4639,[1092630],1,"[""wpf"",""animation"",""xaml"",""triggers""]",How can I make a XAML Trigger call a XAML Style?,1330
1134578,1141334,3,1,2009-07-15T23:04:13.033,4,1942189,[3593683],10,"[""iphone"",""mpmovieplayercontroller""]",Next/Previous buttons on iPhone MPMoviePlayerController,10052
1154734,1156906,2,0,2009-07-20T17:10:28.26,2,102937,[11779751],3,"[""c#"",""ajax"",""asp.net-mvc"",""json"",""callback""]",Is there a way to get upload progress using the HttpPostedFile class?,1733
1176877,,4,1,2009-07-24T10:39:28.043,,,[389825],0,"[""iphone"",""cocoa-touch"",""iphone-softkeyboard""]",Disabling Keyboard,584
1198260,1201902,20,6,2009-07-29T05:57:22.673,60,,[26902633],132,"[""c++"",""iteration"",""template-meta-programming"",""c++11"",""stdtuple""]",How can you iterate over the elements of an std::tuple?,97568
1213089,1213133,6,0,2009-07-31T15:10:25.963,,128585,[1182452],2,"[""php"",""arrays""]",PHP Is there anyway I can simulate an array operator on the return value of a function,413
1250062,1250305,3,1,2009-08-08T22:40:52.517,3,571,[9210281],20,"[""testing"",""unit-testing"",""xunit"",""xunit.net""]","In xUnit.net, is it possible to run tests in order?",9645
1266014,1266042,11,2,2009-08-12T12:57:32.697,4,132756,"[674715,2837063]",29,"[""c#"",""generics"",""inheritance"",""casting"",""list""]",C# Casting a List<ObjBase> as List<Obj>,64317
1327614,1327639,2,1,2009-08-25T11:17:13.39,1,162636,[3059719],4,"["".net"",""c#"",""sorting"",""algorithm"",""radix-sort""]",Any ready-made implementation of Radix Sort for C#?,5430
1349076,1349114,1,0,2009-08-28T20:08:25.49,1,165074,[58538],1,"[""c#"",""uac"",""event-log"","".net-3.5""]",UAC gives me fits!,521
1374720,1721944,4,0,2009-09-03T17:06:29.937,8,146366,[4599916],21,"[""jquery"",""jquery-ui"",""jquery-tools""]",Can JQuery UI and JQuery tools work together?,13526
1420957,1427498,3,0,2009-09-14T11:19:15.03,8,166939,[38554126],26,"[""python"",""multithreading"",""process"",""embedded-language"",""python-c-api""]",Stopping embedded Python,6088
1445238,1504596,4,4,2009-09-18T15:22:17.627,1,175603,[1138142],3,"[""sql"",""tsql"",""sql-server"",""vba""]",Inserting German date format in SQL using VBA,2546
1487695,1487762,14,2,2009-09-28T15:27:17.95,42,37236,[361363],81,"[""c++"",""cross-platform"",""timer""]",C++ Cross-Platform High-Resolution Timer,79717
1525764,16634045,14,4,2009-10-06T13:57:02.243,7,152508,[28922488],40,"[""c++"",""boost"",""shared-ptr""]",How to release pointer from boost::shared_ptr?,33427
1538420,1538427,14,5,2009-10-08T15:04:33.983,297,105033,"[911860,4316696]",851,"[""c"",""malloc"",""calloc""]",Difference between malloc and calloc?,580685
1559387,,2,3,2009-10-13T10:28:53.183,,,[1543422],0,"[""unix"",""scripting"",""awk"",""compare"",""sed""]","script,unix,compare",314
1574336,1574491,3,2,2009-10-15T18:57:48.31,,47550,[595123],5,"[""sql"",""wmi"",""wmi-query"",""wql""]",WQL does not support TOP - need workaround,8448
1603340,1622715,6,0,2009-10-21T20:18:05.263,30,181902,[622652],48,"[""django"",""view""]","Track the number of ""page views"" or ""hits"" of an object?",35984
1620536,3486405,4,0,2009-10-25T10:20:47.423,2,19956,[1880714],5,"[""windows"",""memory-management"",""memory-mapped-files""]",Memory-mapped files remain in physical memory?,3483
1630366,1630443,2,0,2009-10-27T12:06:19.36,1,48465,[2340031],1,"["".net"",""c#"",""linq"",""datatable"",""entity-framework""]",What's wrong with this DataTable while SqlBulkCopy-ing from an Entity?,3570
1652479,1774931,5,0,2009-10-30T21:39:31.35,1,151322,[1631358],3,"[""iphone"",""macos"",""objective-c"",""plist""]",Is there a better way to serialize plist-y objects in Objective-C?,1953
1669772,1669823,2,0,2009-11-03T19:55:59.697,3,163053,[184652],1,"[""svn"",""deployment"",""change-management"",""release-management""]",What's the right way to manage a release with SVN?,1695
1700553,,3,2,2009-11-09T11:54:03.68,3,206829,[1408509],5,"["".net"",""c#"",""wcf"",""serialization"",""visual-studio-2010""]","WCF AddServiceReference causing custom tool error, not producing proxy",2678
1730742,1730774,1,0,2009-11-13T17:27:30.05,1,160936,[112698],1,"[""python"",""executable"",""packaging"",""pygame""]","Pack program *and* dynamically loaded files into single executable? (python + pygame, or language agnostic)",1251
1763480,1763671,4,2,2009-11-19T14:02:58.12,2,198386,[40738351],4,"[""c++"",""visual-c++""]",LNK2019 problem,3030
1807379,1807385,3,2,2009-11-27T08:16:56.283,,219896,[215255],1,"[""c#"",""struct"",""lowercase"",""uppercase""]",Does system.Decimal use more memory than 'decimal'?,513
1831152,,4,2,2009-12-02T07:12:42.187,23,220388,[7483525],112,"[""javascript"",""jquery"",""setinterval""]","How to stop ""setInterval""",193107
1847193,1847718,2,2,2009-12-04T14:15:01.243,3,49544,[1834790],2,"["".net"",""c#"",""ado.net"",""tableadapter""]","Smarter ways to use TableAdapter with base-class, interface or partial class",3836
1885368,1885402,2,1,2009-12-11T01:53:35.777,,4653,[2700696],1,"[""forms"",""data-binding"",""asp.net-mvc"",""post""]",can you post complex objects from form to controller in asp.net mvc,3103
1911237,,1,0,2009-12-15T23:29:36.59,,48523,[1910745],1,"[""php"",""screen-scraping"",""zend-framework""]","PHP, Zend Framework: How to fetch a page from another server, then deliver the content?",429
1922590,1922658,1,0,2009-12-17T15:39:18.037,0,146,[1705939],1,"[""sql-server"",""debugging"",""parameterized"",""linq-to-sql""]",Executing LINQ-to-SQL Debug Output?,336
1933584,1938326,3,0,2009-12-19T17:33:02.967,1,186911,[4706973],1,"[""iphone"",""gdata-api"",""objective-c""]",GData Google API Objective-C client help for iPhone,2589
1962310,1962312,10,1,2009-12-26T00:26:15.373,28,232495,"[350195,1631175]",118,"[""mysql"",""sql"",""performance"",""types""]",Importance of varchar length in MySQL table,57899
2006472,2006530,6,1,2010-01-05T14:07:05.74,4,152365,[1264944],4,"[""architecture"",""design-patterns"",""domain-driven-design""]",Programming pattern / architectural question,3234
2007397,,2,3,2010-01-05T16:25:07.803,1,244087,"[1396617,2173726]",4,"[""git"",""version-control"",""git-push""]",Howto prevent git from pushing changes to some files,2088
2019621,2019826,3,2,2010-01-07T10:42:26.037,2,206446,[116978],6,"[""python"",""java""]",python vs java on web service development?,6246
2055927,2055944,8,4,2010-01-13T10:26:20.997,39,90678,[2012274],327,"[""c#"",""generics"",""ienumerable"",""yield""]",IEnumerable and Recursion using yield return,81324
2108297,3729709,2,2,2010-01-21T10:09:06.097,23,182332,[3279888],83,"["".net"",""c#"",""json"",""webrequest""]",How to get json response using system.net.webrequest in c#?,153463
2120085,,4,2,2010-01-22T19:57:19.877,,226376,[370286],1,"["".net"",""dll""]",switch DLL based on environment - .net,441
2144406,17692710,10,1,2010-01-27T03:34:26.573,49,21239,[30129920],168,"[""git"",""git-submodules""]",How to make shallow git submodules?,63414
2157232,2157273,1,0,2010-01-28T19:16:09.68,,199173,[2180603],0,"[""iphone"",""sdk""]",Publish UIWebView texts on Facebook [iPhone SDK],754
2162725,2162746,6,0,2010-01-29T14:58:57.98,,202895,[2135518],0,"[""tags"",""xhtml""]",Any difference in xhtml between <img .... /> and <img ...></img> at all?,112
2168877,2168924,1,0,2010-01-30T18:17:55.873,2,,[2006468],0,"[""php"",""excel"",""jquery"",""dom"",""webforms""]","Help interpret/implement ""Copy/Paste from Excel to a web page"" answer?",3381
2189443,,2,0,2010-02-03T03:18:03.1,,264890,[1375486],0,"[""xml"",""asp.net"",""ajax"",""asp.net-mvc"",""jquery""]",Passing form data to asp.net mvc controller action using JQuery,2472
2217670,2218377,25,1,2010-02-07T18:02:26.76,33,267185,[26524003],68,"[""android"",""listview"",""double-click""]",Android: How to detect double-tap?,121083
2256884,2496833,33,1,2010-02-13T07:53:20.28,30,94751,[7135999],92,"[""eclipse"",""android"",""eclipse-plugin"",""device"",""adb""]",Android Device Chooser -- device not showing up,192566
2283273,2329819,2,3,2010-02-17T18:16:09.293,,58013,[784918],0,"[""c#"",""sql-server"",""asp.net"",""reporting-services""]",webreference: how do I speed them up?,416
2290008,2290032,5,3,2010-02-18T16:02:13.257,1,257944,[827454],11,"["".net"",""c#"",""symbols""]",What does <??> symbol mean in C#.NET?,9350
2329888,2333747,1,3,2010-02-24T21:55:18.39,,267733,[1123563],2,"[""c#""]",Retrieve Attribute from an interface method,166
2341384,2342632,4,0,2010-02-26T12:02:16.473,1,138125,[440018],4,"[""java"",""xml"",""eclipse"",""gwt""]",GWT - adding external java classes to client project,11220
2359154,,2,0,2010-03-01T21:21:05.923,1,91,[2008958],3,"[""javascript"",""flash"",""silverlight""]",Is it possible to paste an Image into Silverlight/Flash/JavaScript?,1362
2379706,,1,1,2010-03-04T13:50:25.273,,115385,[2855890],3,"[""wordpress"",""tinymce""]",I want to implement TinyMCE in my Wordpress plugin. HOW?,1433
2412001,2412017,2,0,2010-03-09T19:38:46.02,4,183304,[846805],16,"[""jquery""]",Select Table Row in jQuery,65484
2426248,,18,2,2010-03-11T15:33:05.077,7,289804,[1110052],20,"[""iphone"",""hidden"",""objective-c"",""uitabbarcontroller"",""uitabbar""]",UITabBar leaves a white rectangle when hidden,12415
2453919,,3,1,2010-03-16T11:34:36.46,,244548,[2198279],2,"[""c#""]",how to login in https sites with the help of webrequest and response,1202
2467830,,4,5,2010-03-18T06:09:38.4,1,157705,[1103045],3,"[""java"",""sap"",""parsing"",""sax"",""xml-parsing""]",XML parsing with SAX | how to handle special characters?,7303
2476432,2477389,5,0,2010-03-19T10:22:14.94,5,297261,[1666176],5,"[""c++"",""templates"",""expression""]",Storing expression template functors,570
2501141,,0,0,2010-03-23T15:26:30.947,1,157525,[1644851],1,"[""c++"",""sockets""]",Socket throughput on localhost?,2269
2530458,,11,0,2010-03-27T18:37:14.873,,303247,[2512503],7,"[""passwords"",""shell"",""ubuntu"",""gnupg""]",GnuPG Shell Script - Refuses to read password,6468
2551682,2717995,2,0,2010-03-31T09:17:02.603,,268224,[2554827],0,"[""perl"",""fork"",""dbi"",""mod-perl2"",""apache-dbi""]",What is the safe way to use fork with Apache::DBI under mod_perl2?,885
2567960,2567998,2,3,2010-04-02T16:59:05.207,1,99256,[852569],15,"[""localization"",""visual-studio""]",How to disable localization of errors in Visual Studio?,5169
2599680,,16,7,2010-04-08T12:16:53.297,7,299871,[811958],69,"[""sql"",""vb.net"",""exception""]",I've caught an exception!! Now what?,6892
2613525,2614937,9,4,2010-04-10T13:25:11.373,26,109747,[43995],48,"[""svn"",""git"",""version-control"",""mercurial"",""dvcs""]",What makes merging in DVCS easy?,3673
2649653,2649691,3,3,2010-04-15T23:24:09.513,,317208,[2628018],3,"[""c++"",""embedded"",""x86"",""assembly""]",Change an array's value in x86 assembly (embedded in C++),9982
2656636,,1,2,2010-04-16T23:42:21.037,1,278370,[140303],4,"[""asp.net"",""viewstate"",""exception""]",Unable to validate data. at System.Web.Configuration.MachineKeySection.GetDecodedData,3448
2657812,2756786,3,3,2010-04-17T08:47:44.33,,182269,[2620085],0,"[""sharepoint"",""sharepoint-2007""]",Exception from HRESULT: 0x80020009 (DISP_E_EXCEPTION)) in SharePoint Part 2,6065
2688224,,2,0,2010-04-22T04:21:35.163,,322907,[12246029],1,"[""iphone"",""uiaccelerometer"",""iphone-sdk-3.1.2""]",iPhone accelerometer:didAccelerate: seems to not get called while I am running a loop,1168
2715314,2715424,1,0,2010-04-26T17:03:31.96,,140939,[2672535],1,"[""asp.net"",""web-parts""]",Which type of applications can use WebParts?,75
2730966,2730983,9,3,2010-04-28T15:37:33.32,1,97736,[27064505],10,"[""c#""]",Is there a better way to set lots of required properties than sending as parameters in a Constructor?,689
2760502,2760612,3,2,2010-05-03T19:05:18.943,2,421924,[50605],22,"[""c"",""types"",""integer"",""integer-overflow"",""underflow""]",Question about C behaviour for unsigned integer underflow,21316
2771143,,2,0,2010-05-05T06:54:38.01,1,333144,[18757495],11,"[""c#"",""dll""]",C# update DLL without recompiling the project,16217
2782883,2809088,3,1,2010-05-06T16:55:29.167,3,79591,[69605275],7,"[""unix"",""posix"",""ipc"",""shared-memory"",""lynxos""]",Condition Variable in Shared Memory - is this code POSIX-conformant?,10807
2803525,,2,2,2010-05-10T14:43:09.153,1,257234,[177275],0,"[""asp.net"",""asp.net-mvc"",""gridview""]",Asp.net gridview MVC,798
2822723,,2,0,2010-05-12T20:58:49.147,,339719,[968391],0,"[""sqlite"",""subsonic""]",Subsonic SQLite Multiple Files,290
2894934,2895779,1,1,2010-05-24T05:31:34.07,3,348686,[3584297],5,"[""android""]",Installing a large size apk application on Android phone,2406
2913206,2913269,3,0,2010-05-26T13:11:22.807,,273649,[2907473],4,"[""c++"",""type-coercion""]","A follow up on type coercion in C++, as it may be construed by type conversion",356
2947677,,0,4,2010-06-01T06:28:44.3,,355121,[2948130],2,"[""cookies"",""cross-domain"",""session-cookies""]",Recreating Cookies on another Domain,207
2964489,2965311,1,0,2010-06-03T08:59:21.913,,284151,[2967882],0,"[""sharepoint"",""wss""]",Backup restore without content in sharepoint,2349
2986318,2986354,3,0,2010-06-06T23:14:22.96,34,193283,"[2927836,61312395]",120,"[""java"",""orm"",""hibernate"",""jpa"",""hibernate-mapping""]",How to map calculated properties with JPA and Hibernate,139258
3017162,3017438,7,1,2010-06-10T18:08:21.993,34,354116,[9229333],47,"[""c++"",""linux"",""cpu-usage""]",How to get total cpu usage in Linux using C++,77545
3028306,3028660,16,3,2010-06-12T10:22:56.903,786,363606,"[5453708,9324103,16210894,43066114]",1102,"[""java"",""android"",""download"",""android-asynctask""]","Download a file with Android, and showing the progress in a ProgressDialog",592295
3049466,,2,4,2010-06-15T22:17:23.017,1,367743,[1591135],3,"[""javascript"",""iframe"",""internet-explorer"",""cross-browser""]",How can I append and execute a script inside an iframe in a cross browser way (specifically IE!)?,5944
3055362,3055395,2,0,2010-06-16T16:39:58.333,,179015,[145154],0,"[""objective-c""]",Accessing Singleton Instance Variable in Class Methods Throws Warning?,1384
3066468,,4,2,2010-06-18T00:19:52.833,32,369886,[754593],35,"[""java"",""real-time"",""stream"",""feed"",""financial""]",Are there free realtime financial data feeds since the demise of OpenQuant?,53107
3083798,3083820,10,9,2010-06-21T10:20:32.63,7,351754,[737022],21,"[""html"",""javascript"",""mouse"",""right-click""]",How to disable mouse right click on a web page?,105327
3085916,3086116,1,2,2010-06-21T15:18:51.217,1,332311,[1532876],2,"[""android"",""widget""]",android custrom control (button),158
3098521,3098685,4,0,2010-06-23T02:24:53.437,16,45654,[13710364],116,"[""vim"",""file-exists""]",How to detect if a specific file exists in Vimscript?,43788
3146483,3146509,1,0,2010-06-30T04:28:52.693,19,368772,[15587553],36,"[""html"",""javascript"",""file""]",HTML5 File API read as text and binary,106672
3158869,3158895,6,1,2010-07-01T14:44:22.173,5,318747,[1351548],21,"[""javascript"",""minify""]",javascript packer versus minifier,17161
3173147,3174749,2,2,2010-07-03T23:11:52.263,3,129099,[2682155],6,"[""compression"",""apache"",""http-compression""]","mod_deflate or mod_gzip, which should be used?",9534
3202114,3202184,1,0,2010-07-08T09:16:06.62,,372047,[2812018],4,"[""c#"",""mono"",""gmcs""]",Why can't I pass just the name of a method where a similarly typed Func is expected?,99
3202232,4833986,2,0,2010-07-08T09:29:11.657,,231821,[2404685],4,"[""xml-serialization""]",XML Serialize anonymous class,608
3204060,3204106,4,0,2010-07-08T13:29:11.027,1,342279,[11005733],21,"[""django"",""indexing"",""main"",""set""]",Django how to set main page,45690
3228649,3229501,2,1,2010-07-12T12:51:20.553,,84399,[2776975],1,"[""java"",""generics"",""compiler-errors"",""wildcard""]",Using generics with wildcards does not allow using methods with generic as a parameter,260
3253692,,4,0,2010-07-15T08:17:46.82,,88460,[918736],3,"[""java"",""power-law""]",Java: Power Law Distribution,3635
3265062,,2,0,2010-07-16T13:02:46.67,1,303295,[5577065],2,"[""python"",""cookies"",""selenium"",""selenium-rc""]",How to save and restore all cookies with Selenium RC?,1972
3273218,,4,4,2010-07-17T20:49:19.413,1,394858,[214886],3,"[""apache"",""mod-rewrite""]",Give 404 on existing folder/directory,2550
3297867,,13,4,2010-07-21T09:29:12.033,150,395617,"[2486191,3052442]",252,"[""java"",""string"",""string-literals""]",Difference between string object and string literal,291856
3316034,3316127,1,0,2010-07-23T07:13:40.073,,326686,[3649201],0,"[""iphone""]",how to check installed application in iphone device in ios SDK 4.0,1144
3352490,3352617,4,0,2010-07-28T11:46:28.857,1,310743,[3257575],5,"[""sql"",""oracle""]",Why is it that the IsEqual (=) operator is working faster than the IsNotEqual (<>) operator in Oracle?,1210
3362573,3447899,7,2,2010-07-29T12:47:46.687,2,225402,[22411136],4,"[""java"",""workflow"",""flowchart""]",Is there any tool for flow-diagram available?,5209
3378194,,3,5,2010-07-31T13:00:44.043,,144865,[3376803],0,"[""html"",""python"",""regex""]",Problem extracting text out of html file using python regex,403
3401183,3401197,3,2,2010-08-03T22:15:16.15,,410194,[5725296],26,"[""bash""]","Bash syntax error: ""[[: not found""",36942
3421339,3425847,1,0,2010-08-06T06:00:08.093,1,350622,[2396786],2,"[""iphone"",""xcode"",""notifications"",""sleep""]",Is it possible to know when the iPhone will go to sleep?,1459
3441145,3441806,3,0,2010-08-09T14:41:51.333,0,78000,[650647],4,"[""hibernate"",""ejb"",""seam"",""seam-conversation"",""seam2""]",Help me to understand SEAM and Hibernate?,2350
3475076,3477285,5,0,2010-08-13T08:16:40.997,6,74257,[1637211],16,"[""javascript"",""java"",""jsf"",""facelets"",""fragment-identifier""]",Retrieve the fragment (hash) from a URL and inject the values into the bean,12940
3504445,3504600,3,0,2010-08-17T15:57:11.297,,1317031,[2815903],3,"[""regex"",""emacs"",""elisp""]",Can some please explain this elisp regexp,403
3528877,3528955,4,1,2010-08-20T07:17:11.02,1,291224,[2808617],7,"[""c++"",""windows"",""multithreading"",""mutex""]",Can someone Explain Mutex and how it is used?,11849
3545196,3545781,3,2,2010-08-23T06:36:14.833,5,428100,[4184889],9,"[""android""]",Android: Programmatically iterate through Resource ids,8095
3550566,3550603,6,2,2010-08-23T18:32:11.503,,287820,[858080],1,"[""c#"",""casting"",""operators""]",weird compiler error when casting in ternary/conditional operator,176
3594740,,7,2,2010-08-29T12:34:22.097,,434180,[3594514],1,"[""python""]",Finding the common elements of a list,885
3606107,,4,3,2010-08-31T04:48:44.173,,426021,[2370288],2,"[""java""]",How to calculate the size of class in java ..?is any method like sizeof() in c..?,4535
3614212,3614218,4,0,2010-09-01T00:27:45.193,22,181637,[2419749],139,"[""html"",""jquery""]","jQuery, get html of a whole element",200942
3637613,,3,1,2010-09-03T16:15:27.387,8,294181,[26114920],25,"[""css"",""css-shapes""]",hexagonal shaped cells in html,21216
3655250,3655254,7,10,2010-09-07T01:45:59.957,2,69514,[16864552],5,"[""c"",""printing"",""printf"",""type-conversion""]",Why does printf print wrong values?,9376
3669109,3670228,1,0,2010-09-08T15:04:39.81,,26699,[1313640],0,"[""java"",""flv"",""parsing""]",How to get flv duration in java?,1398
3690317,,3,0,2010-09-11T08:22:31.613,,161207,[3409053],1,"[""java"",""jsf""]",How to add <h:inputtext> dynamically in JSF?,7760
3699504,3699597,3,1,2010-09-13T10:21:32.637,,392390,[1084114],2,"[""php"",""cookies""]",Cookie of different domains in PHP,1957
3715505,3715593,3,1,2010-09-15T07:26:36.813,2,387298,[2857376],7,"[""jakarta-ee""]",What is Java EE Web Application?,8698
3755789,3755849,4,3,2010-09-20T21:47:53.123,2,392119,[1042902],7,"[""math"",""primes"",""sieve""]",Fastest prime test for small-ish numbers,1414
3792134,,11,0,2010-09-25T02:00:11.313,17,190925,"[1418777,1525772]",34,"[""ms-access"",""vba""]",Get Name of Current VBA Function,48888
3833791,,4,5,2010-09-30T18:46:09.947,7,4234,[816285],12,"[""python"",""regex"",""ascii"",""character-encoding"",""special-characters""]",Python regex to convert non-ascii characters in a string to closest ascii equivalents,6612
3841231,3890800,4,2,2010-10-01T16:39:30.557,8,119895,[3682021],7,"[""iphone"",""android"",""progress-bar""]",Custom ProgressBar widget,5936
